Id,carat,cut,color,clarity,depth,table,x,y,z,predicted_price
1,-0.9634222366112138,2,3,7,-0.4632105230511161,-0.20230890549627667,-1.0763826547563995,-1.1233334610796328,-1.1350895696840977,1040.0
2,-0.18558492509707702,3,1,5,0.6625986542508407,0.24475237648283404,0.009331557812092517,-0.04713680819373667,0.05838173214717791,2013.0
3,-0.7531959362019877,4,5,4,0.7329617278322089,-0.6493701874753873,-0.8005044532021103,-0.764601243451001,-0.7037144003474923,992.0
4,0.024641375312149383,3,1,3,-1.1668412588648385,0.6918136584619448,0.3208069466637086,0.266753882231317,0.159035938325719,2019.0
5,-0.8372864563656781,2,3,6,-0.3928474494697428,-0.6493701874753873,-0.8805981246210972,-0.8363476869767276,-0.8906436403933545,1008.0
6,0.9916823571945899,2,2,4,-0.11139515514425488,-1.096431469454498,1.1039450672049156,1.1635844263028976,1.108061310866251,9786.0
7,0.4450939761306017,4,3,5,-0.18175822872562813,-0.6493701874753873,0.6055844450423296,0.6613593216228121,0.6047902799735448,3400.0
8,0.9286144670718219,0,2,3,2.2105862730410317,1.1388749404410554,0.8636640529479547,0.8048522086742651,1.122440483177472,3204.0
9,-0.18558492509707702,0,5,5,-0.11139515514425488,4.2683039142948305,0.027130151460755935,-0.10991494627874678,-0.056651646342583684,1708.0
10,-0.900354346488446,4,3,4,-0.18175822872562813,0.24475237648283404,-1.0318861706347395,-1.0157137957910438,-1.0344353635055565,726.0
11,-0.4799017456699937,4,3,5,-1.3075674060275848,-1.2752559822461418,-0.2665466437421968,-0.24443952788948417,-0.40175178181186844,1807.0
12,-0.4588791156290711,2,2,2,-0.25212130230700136,-0.20230890549627667,-0.3555396119855154,-0.3161859714152107,-0.3586142648782075,1639.0
13,0.4450939761306017,4,3,3,0.17005713918123305,0.24475237648283404,0.569987257745002,0.6075494889785176,0.6047902799735448,2593.0
14,0.5502071263352148,3,2,2,0.451509433506721,0.24475237648283404,0.7390738974073076,0.6972325433856753,0.7629611753969673,4108.0
15,-0.8162638263247556,4,1,6,-1.3779304796089582,2.032997504399277,-0.8361016404994379,-0.8004744652138642,-0.9481603296382354,1367.0
